"","coords","all","natural","current","threatened","missing"
"14256","1495537.21944444_-1289706.71830986",28,28,21,2,7
"14257","1592023.49166667_-1289706.71830986",34,34,29,2,5
"14258","1688509.76388889_-1289706.71830986",33,33,28,2,5
"14259","1784996.03611111_-1289706.71830986",29,29,22,1,7
"14260","1881482.30833333_-1289706.71830986",28,28,21,1,7
"14261","1977968.58055555_-1289706.71830986",28,28,20,1,8
"14262","2074454.85277778_-1289706.71830986",30,30,22,1,8
"14263","2170941.125_-1289706.71830986",28,28,20,1,8
"14264","2267427.39722222_-1289706.71830986",30,30,21,0,9
"14265","2363913.66944445_-1289706.71830986",36,36,23,1,10
"14266","2460399.94166667_-1289706.71830986",38,38,25,1,10
"14267","2556886.21388889_-1289706.71830986",37,37,28,3,6
"14268","2653372.48611111_-1289706.71830986",42,42,28,2,9
"14269","2749858.75833333_-1289706.71830986",42,42,28,2,8
"14270","2846345.03055555_-1289706.71830986",38,38,24,2,8
"14271","2942831.30277778_-1289706.71830986",41,41,28,2,6
"14272","3039317.575_-1289706.71830986",45,45,29,1,8
"14273","3135803.84722222_-1289706.71830986",47,47,34,5,5
"14274","3232290.11944444_-1289706.71830986",46,46,34,5,4
"14275","3328776.39166667_-1289706.71830986",43,43,33,5,3
"14276","3425262.66388889_-1289706.71830986",44,44,33,5,4
"14277","3521748.93611111_-1289706.71830986",43,43,35,7,2
"14278","3618235.20833333_-1289706.71830986",44,44,36,7,2
"14279","3714721.48055556_-1289706.71830986",43,43,32,5,5
"14280","3811207.75277778_-1289706.71830986",41,41,30,4,6
"14281","3907694.025_-1289706.71830986",34,34,27,4,7
"14282","10179301.7194444_-1289706.71830986",1,0,1,0,0
"14283","11530109.5305556_-1289706.71830986",1,0,1,0,0
"14284","11626595.8027778_-1289706.71830986",1,0,1,0,0
"14285","11723082.075_-1289706.71830986",1,0,1,0,0
"14286","11819568.3472222_-1289706.71830986",1,0,1,0,0
"14287","11916054.6194444_-1289706.71830986",1,0,1,0,0
"14288","12012540.8916667_-1289706.71830986",1,0,1,0,0
"14289","13749293.7916667_-1289706.71830986",1,0,1,0,0
"14290","13942266.3361111_-1289706.71830986",1,0,1,0,0
"14291","14231725.1527778_-1289706.71830986",5,4,2,0,0
"14292","14328211.425_-1289706.71830986",6,5,3,1,0
"14293","14424697.6972222_-1289706.71830986",6,5,3,1,0
"14294","14521183.9694444_-1289706.71830986",5,4,2,0,0
"14295","14617670.2416667_-1289706.71830986",2,1,2,0,0
"14296","15389560.4194444_-1289706.71830986",1,0,1,0,0
"14297","15486046.6916667_-1289706.71830986",1,0,1,0,0
"14298","15582532.9638889_-1289706.71830986",1,0,1,0,0
"14299","15679019.2361111_-1289706.71830986",1,0,1,0,0
"14300","15968478.0527778_-1289706.71830986",1,0,1,0,0
"14301","16064964.325_-1289706.71830986",1,0,1,0,0
"14302","-7477686.09722222_-1386221.67605634",16,15,10,2,1
"14303","-7381199.825_-1386221.67605634",16,15,7,1,3
"14304","-7284713.55277778_-1386221.67605634",24,23,13,5,1
"14305","-7188227.28055556_-1386221.67605634",35,34,16,7,2
"14306","-7091741.00833333_-1386221.67605634",32,31,16,7,2
"14307","-6995254.73611111_-1386221.67605634",31,30,16,7,1
"14308","-6898768.46388889_-1386221.67605634",30,29,15,7,1
"14309","-6802282.19166667_-1386221.67605634",28,27,14,6,0
